"Partija","Kandidatas1","Kandidatas2","Koreliacija"
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Jonas DIENINIS","Vytautas GIMŽAUSKAS",0.71494364507981
"Lietuvos socialdemokratų partija","Darius PETROŠIUS","Vaclovas KARBAUSKIS",0.713806023471301
"Lietuvos lenkų rinkimų akcija","Andrejus BRIAUNYS","Olia LUKAŠEVIČ",0.713382839101455
"Lietuvos socialdemokratų partija","Pranas PETROŠIUS","Vaclovas KARBAUSKIS",0.708654949205378
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Laimutė STEPONAVIČIENĖ","Vitas SADAUSKAS",0.706025742773791
"Darbo partija","Arnoldas LINKEVIČIUS","Saulius JAKIMAVIČIUS",0.705193204033841
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Alfreda TAMOŠEVIČIENĖ","Vilma SAVICKIENĖ",0.704861808638173
"Lietuvos socialdemokratų partija","Vytautas SAULIS","Vytautas VILYS",0.703325446118506
"Lietuvos socialdemokratų partija","Bronius PAUŽA","Kazimieras ŠIMKUS",0.700555261585031
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Antanas MATULAS","Vilhelminas JANUŠONIS",0.700295050924446
"Lietuvos lenkų rinkimų akcija","Edyta RUD","Tatjana LAPICKAJA",0.689725868398728
"Darbo partija","Arūnas BACEVIČIUS","Tomas STASKEVIČIUS",0.688877705458205
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Algis KAZULĖNAS","Dijana MEŠKAUSKIENĖ",0.68386216761627
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Antanas MATULAS","Povilas BALČIŪNAS",0.681688034758859
"Darbo partija","Egidijus GOVEDAS","Gintautas PETRAVIČIUS",0.679921265761033
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Arūnas BARBŠYS","Loreta KUDARIENĖ",0.679799874470246
"""Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)""","Gediminas DAVULIS","Renaldas ŽILINSKAS",0.675549032508021
"Lietuvos lenkų rinkimų akcija","Alicija PESLIAK","Tatjana SINKEVIČ",0.672445713271574
"Politinė partija „Sąjunga Taip“","Aleksandras BOJAROVAS","Michail OLISOV",0.660667339856826
"Lietuvos socialdemokratų partija","Edvardas ŽAKARIS","Valerijus SIMULIK",0.65992115087188
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Giedrius GRAŽULIS","Loreta KUDARIENĖ",0.659422039173146
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Artūras LISTAVIČIUS","Jadvyga DUNAUSKAITĖ",0.657310343243179
"Lietuvos socialdemokratų partija","Arvydas MOCKUS","Edvardas ŽAKARIS",0.65700404445187
"Liberalų ir centro sąjunga","Edita STUNDŽIAITĖ","Vaclovas SAMUOLIS",0.653566389934253
"Darbo partija","Jonas PINSKUS","Sigitas BANKAUSKAS",0.651642117098034
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Gediminas KRASAUSKAS","Simas SALICKAS",0.650507656501621
"Darbo partija","Vigilijus JUKNA","Vytautas KILČIAUSKAS",0.648474489973788
"Darbo partija","Sigitas BANKAUSKAS","Živilė PINSKUVIENĖ",0.643826010274253
"Liberalų ir centro sąjunga","Audrius ILGEVIČIUS","Rimantas KLIPČIUS",0.643121846891195
"Lietuvos socialdemokratų partija","Arūnas DUDĖNAS","Klavdija STEPANOVA",0.642745208455147
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Loreta KALNIKAITĖ","Nerijus JOCYS",0.64139381877187
"Darbo partija","Vitalija VONŽUTAITĖ","Žilvinas PUTRAMENTAS",0.640561304827127
"Darbo partija","Antanas BURINSKAS","Antanas MARČIULIONIS",0.640334563126816
"Lietuvos Respublikos liberalų sąjūdis","Arūnas MALIAUKA","Irena TURKEVIČIENĖ",0.636700079824159
"Darbo partija","Larisa DMITRIJEVA","Sergej DMITRIJEV",0.636039755096306
"Darbo partija","Aurimas TRUNCĖ","Snieguolė VICHROVIENĖ",0.634903138603937
"Lietuvos Respublikos liberalų sąjūdis","Arvydas ŠMIGELSKIS","Viktoras STRUPS",0.634327910561049
"Demokratinė darbo ir vienybės partija","Aušra STRAVINSKAITĖ-BALIŪNIENĖ","Larisa VALAITIENĖ",0.630826247151039
"Darbo partija","Antanas PUODYS","Giedrius MOZŪRAITIS",0.625002380804493
"Lietuvos socialdemokratų partija","Arvydas MOCKUS","Valerijus SIMULIK",0.624240509621212
"Lietuvos valstiečių ir žaliųjų sąjunga","Audrys ŠIMAS","Vytautas ZURBA",0.623534505669275
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Pranas JACIUNSKAS","Simas SALICKAS",0.61905704401066
"Darbo partija","Raimundas MARKAUSKAS","Snieguolė VICHROVIENĖ",0.613810525549814
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Jonas GUDAUSKAS","Nerijus JOCYS",0.6135231933143
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Virginija RADZIŠAUSKIENĖ","Vitas SADAUSKAS",0.613131349163703
"Lietuvos valstiečių ir žaliųjų sąjunga","Jonas KANAVOLAS","Pranciškus ZARAMBA",0.611691563005349
"Lietuvos valstiečių ir žaliųjų sąjunga","Danutė UŽKURĖLYTĖ","Elena MIRINAVIČIENĖ",0.611671644942478
"Lietuvos lenkų rinkimų akcija","Henrich KASPEROVIČ","Sofija MATAREVIČ",0.611054494563279
"Lietuvos valstiečių ir žaliųjų sąjunga","Genovaitė KIMBRIENĖ","Virgilijus POZINGIS",0.607022082850742
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Jonas GUDAUSKAS","Loreta KALNIKAITĖ",0.604414799570486
"Liberalų ir centro sąjunga","Danutė IVANAUSKIENĖ","Kęstutis BILIUS",0.602899546937173
"Lietuvos socialdemokratų partija","Irena LUNSKIENĖ","Ramūnas BUROKAS",0.601650000999557
"Lietuvos socialdemokratų partija","Laima NAGIENĖ","Rima ŠIRVINSKIENĖ",0.601291892126416
"Lietuvos lenkų rinkimų akcija","Algis MORTŪNAS","Tatjana SINKEVIČ",0.600224192925095
"Lietuvos socialdemokratų partija","Albinas MITRULEVIČIUS","Irena LUNSKIENĖ",0.599269003356823
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Erika KIŽIENĖ","Jonas JURGELIŪNAS",0.597763571939823
"Partija Tvarka ir teisingumas","Paulius PAULIONIS","Žydrė NUTAUTIENĖ",0.59740805997918
"""Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)""","Jonas GRIŠKEVIČIUS","Zita ORENTIENĖ",0.591356032463081
"Partija Tvarka ir teisingumas","Inga KAROSEVIČIŪTĖ","Irena GAILIUTĖ",0.591212805310615
"Darbo partija","Antanas MAKAREVIČIUS","Arnoldas LINKEVIČIUS",0.590939529058709
"Politinė partija „Sąjunga Taip“","Vidmantas ŠIMKUS","Vitalija ŠIMKIENĖ",0.589867880852845
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Jonas JURGELIŪNAS","Povilas KARVELIS",0.587739012795395
"Lietuvos lenkų rinkimų akcija","Julita MEŠKUTAVIČIŪTĖ","Jurgita NAUSĖDIENĖ",0.587279834742509
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Gediminas KRASAUSKAS","Pranas JACIUNSKAS",0.585807670581022
"Liberalų ir centro sąjunga","Romas MEDZVECKAS","Valerijus KUZNECOVAS",0.584062498784577
"Lietuvos valstiečių ir žaliųjų sąjunga","Linas LAZAUSKAS","Marijonas MITKUS",0.579994359041361
"Lietuvos socialdemokratų partija","Jonas JURKUS","Rima ŠIRVINSKIENĖ",0.579661740764143
"Partija Tvarka ir teisingumas","Paulius PAULIONIS","Romualdas JABLONSKIS",0.576127044220087
"Lietuvos socialdemokratų partija","Albinas MITRULEVIČIUS","Ramūnas BUROKAS",0.57259745151374
"Darbo partija","Arvydas SABOCKIS","Vitalija VONŽUTAITĖ",0.572555514372026
"Darbo partija","Antanas MAKAREVIČIUS","Ovidijus URBANAVIČIUS",0.572199788337233
"Lietuvos valstiečių ir žaliųjų sąjunga","Juozas STEPONAVIČIUS","Linas LAZAUSKAS",0.571555498958069
"Lietuvos valstiečių ir žaliųjų sąjunga","Apolinaras STONKUS","Jonas SIMINKEVIČIUS",0.569729687806057
"Lietuvos lenkų rinkimų akcija","Ivona ROMANOVSKA","Viktorija DAILYDIENĖ",0.56929875968726
"Lietuvos socialdemokratų partija","Alma MONKAUSKAITĖ","Kostas ARVASEVIČIUS",0.56669768029797
"Lietuvos valstiečių ir žaliųjų sąjunga","Artūras RAULIČKIS","Skaidrutė ŽUVELAITIENĖ",0.566629121152804
"Darbo partija","Audronė PITRĖNIENĖ","Odeta ŽERLAUSKIENĖ",0.566191586145124
"Lietuvos lenkų rinkimų akcija","Danuta KULIEŠIENĖ","Valerija ŠIMIANEC",0.565448361742956
"Partija Tvarka ir teisingumas","Juozas ROKAS","Leta KALINAUSKAITĖ",0.564712282817794
"Darbo partija","Raja KRUPENINA","Šarūnas BIRUTIS",0.561984452252544
"Darbo partija","Gintaras TAMOŠIŪNAS","Vitalija VONŽUTAITĖ",0.559714255499673
"Lietuvos lenkų rinkimų akcija","Danuta ŠPILEVSKAJA","Marina KUZNECOVA",0.557696505457018
"Partija Tvarka ir teisingumas","Romualdas JABLONSKIS","Žydrė NUTAUTIENĖ",0.556624249991812
"Lietuvos valstiečių ir žaliųjų sąjunga","Daiva RIBIKAUSKIENĖ","Jonas POVILAITIS",0.555298196775609
"Darbo partija","Algirdas GRICIUS","Darius ULICKAS",0.554901027107804
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Arūnas BARBŠYS","Giedrius GRAŽULIS",0.553272533033504
"Lietuvos socialdemokratų partija","Algirdas BALČYTIS","Artūras SKARDŽIUS",0.552186760777577
"Lietuvos lenkų rinkimų akcija","Ivona ROMANOVSKA","Marija KLIMAŠEVSKA",0.551886687785871
"Lietuvos lenkų rinkimų akcija","Edyta RUD","Žaneta JANKOVSKA",0.551583202352154
"Politinė partija „Sąjunga Taip“","Aleksandras BOJAROVAS","Vasilij FIODOROV",0.54930817627043
"Liberalų ir centro sąjunga","Gintaras GIRŠTAUTAS","Gintautas REKERTA",0.548343618605481
"Darbo partija","Borisas MARKULIS","Rimas BERTAŠIUS",0.547584923613652
"Lietuvos socialdemokratų partija","Aldona VORIENĖ","Jūratė JANUŠKIENĖ",0.544185029049709
"Darbo partija","Algimanta PABEDINSKIENĖ","Antanas BURINSKAS",0.540884711973267
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Alfredas JONUŠKA","Ernestas JUŠKA",0.538791723135043
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Laimutė STEPONAVIČIENĖ","Virginija RADZIŠAUSKIENĖ",0.538726867942682
"Lietuvos valstiečių ir žaliųjų sąjunga","Aringas PAČEŠIŪNAS","Audrys ŠIMAS",0.538596747228978
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Egidijus ČERNIUS","Gintautas ČIŽAUSKAS",0.53752595483266
"Lietuvos socialdemokratų partija","Albinas EŽERSKIS","Zigmantas BALČYTIS",0.536844164745726
"Lietuvos valstiečių ir žaliųjų sąjunga","Benius RŪTELIONIS","Rytis SALADINSKAS",0.53353132184169
"Lietuvos socialdemokratų partija","Asta JASIŪNIENĖ","Vygantas SUDARIS",0.533141390156214
"Darbo partija","Alina GOREVAJA","Mingailė BINKAUSKAITĖ",0.532296359900875
"Darbo partija","Juozas GIRČYS","Valentina KOZLOVSKAJA",0.531615012290229
"Darbo partija","Lijana JAGINTAVIČIENĖ","Saulius STANKEVIČIUS",0.53069559570339
"Partija Tvarka ir teisingumas","Vincas PLIKAITIS","Vytautas NARUŠIS",0.530493317883463
"Lietuvos socialdemokratų partija","Arvydas VYŠNIAUSKAS","Egidijus GAIDAMAVIČIUS",0.530405970405631
"Lietuvos valstiečių ir žaliųjų sąjunga","Algimantas ČEPONIS","Juozas SAUSPREŠKIS",0.527005780455332
"Lietuvos lenkų rinkimų akcija","Ričardas JANKAUSKAS","Zofija PILYPIENĖ",0.526553668838444
"Lietuvos Respublikos liberalų sąjūdis","Edvardas VITKAUSKAS","Raimondas PLIKŠNYS",0.526320313071534
"Lietuvos lenkų rinkimų akcija","Andžej ANDRUŠKEVIČ","Stanislav KAZARIN",0.525803148955202
"Lietuvos lenkų rinkimų akcija","Alina RIZGELIENĖ","Marina KUZNECOVA",0.524040820480306
"Lietuvos lenkų rinkimų akcija","Julija CHARITONOVA","Romuald ŠTURA",0.523520655447318
"""Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)""","Šarūnas LAUŽADIS","Vladas TURČINAVIČIUS",0.52271414330982
"„Drąsos kelias“ politinė partija","Rasma BUZIENĖ","Rita JUSIENĖ",0.522694552614836
"Lietuvos lenkų rinkimų akcija","Andžejus PUPINIS","Povilas ŠUMINAS",0.522210506649812
"Liberalų ir centro sąjunga","Andrius BŪDA","Gražvydas GULBINSKAS",0.521789659121283
"""Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)""","Jonas GRIŠKEVIČIUS","Rytas KAMINSKAS",0.520464120359109
"Politinė partija „Sąjunga Taip“","Andrejus ZADNEPROVSKIS","Mindaugas MIZGAITIS",0.520091032893417
"Lietuvos lenkų rinkimų akcija","Danuta KULIEŠIENĖ","Honorata ČAIKAUSKIENĖ",0.516962326372246
"Liberalų ir centro sąjunga","Sigitas ARBAČIAUSKAS","Valdas Petras MIKELIONIS",0.514482402497276
"Lietuvos valstiečių ir žaliųjų sąjunga","Daiva RIBIKAUSKIENĖ","Dalius ČAPAITIS",0.51368814501132
"Lietuvos Respublikos liberalų sąjūdis","Arūnas MALIAUKA","Šarūnas SKUČAS",0.513335800147478
"Darbo partija","Ivanas ROMANOVAS","Raimundas PALIUKAS",0.511281378638576
"Darbo partija","Audrius BANIONIS","Rima ZABLACKIENĖ",0.511218098755281
"Lietuvos lenkų rinkimų akcija","Ivona ČERNIAVSKA","Ivona ROMANOVSKA",0.510301448729693
"Lietuvos socialdemokratų partija","Arūnas EIMUTIS","Vytautas RINKEVIČIUS",0.508229877860581
"Lietuvos lenkų rinkimų akcija","Leonija PETRAUSKAITĖ","Ričardas JANKAUSKAS",0.507541118910577
"Darbo partija","Aušra DEGUTYTĖ","Ovidijus URBANAVIČIUS",0.505972480092289
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Kęstutis DAINIUS","Vitas SADAUSKAS",0.503061006447604
"Lietuvos lenkų rinkimų akcija","Alma BAGDONAVIČIENĖ","Laimutė BURBIENĖ",0.501860583830629
"Lietuvos valstiečių ir žaliųjų sąjunga","Algimantas ČEPONIS","Virgilijus POZINGIS",0.50093388567319
"Lietuvos valstiečių ir žaliųjų sąjunga","Genovaitė KIMBRIENĖ","Juozas SAUSPREŠKIS",0.500751307233215
"Lietuvos socialdemokratų partija","Almantas ŠTREIMIKIS","Justas PANKAUSKAS",0.499315914841894
"Liberalų ir centro sąjunga","Antanas SIMONČIKAS","Dovilė NIKIFOROVA",0.497933257909991
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Erika KIŽIENĖ","Rasa KONTAUTIENĖ",0.497341798388329
"Lietuvos Respublikos liberalų sąjūdis","Irena TURKEVIČIENĖ","Šarūnas SKUČAS",0.495967563293154
"Liberalų ir centro sąjunga","Arūnas STAŠAITIS","Valdas MARČIULIONIS",0.495914131053027
"Lietuvos socialdemokratų partija","Arvydas MOCKUS","Justinas SARTAUSKAS",0.495696376335289
"Lietuvos socialdemokratų partija","Domas PETRULIS","Loreta KUBILIŪNIENĖ",0.49515202721387
"""Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)""","Alvydas KIMTYS","Gražina KRAULIENĖ",0.493421311445513
"Demokratinė darbo ir vienybės partija","Magdelena AUŠKALNIENĖ","Žydrūnė SURVILIENĖ",0.492704577543651
"Liberalų ir centro sąjunga","Aušrydas TAMULIONIS","Rolandas CIJUNČIKAS",0.491766861390512
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Gintautas ČIŽAUSKAS","Vykintas STUMBRYS",0.490820739358864
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Gintautas RADŽIUKYNAS","Simas SALICKAS",0.489221519377358
"Demokratinė darbo ir vienybės partija","Ingrida VAICIKEVIČIENĖ","Renata MACIENĖ",0.487789770683785
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Algirdas KLIMAITIS","Edgaras PILYPAITIS",0.485888382319302
"Liberalų ir centro sąjunga","Rimantas TARAŠKEVIČIUS","Vidmantas PLEČKAITIS",0.482322810565553
"Darbo partija","Gintaras STEPONĖNAS","Raja KRUPENINA",0.481940610230897
"Lietuvos lenkų rinkimų akcija","Valdemar DOVEIKO","Valdemar ŠELKOVSKI",0.481768655662374
"Lietuvos valstiečių ir žaliųjų sąjunga","Juozas STEPONAVIČIUS","Marijonas MITKUS",0.480020734901419
"Lietuvos socialdemokratų partija","Aloyzas KAŽDAILEVIČIUS","Violeta GEMBUTIENĖ",0.479980378705777
"Socialistinis liaudies Frontas","Genovaitė LAGINAUSKIENĖ","Vitalij LAVKART",0.479674546545629
"Lietuvos Respublikos liberalų sąjūdis","Algis Petras KRUTKEVIČIUS","Petras RAČKAUSKAS",0.47906429000426
"Darbo partija","Mingailė BINKAUSKAITĖ","Vilija FILIPOVIČIENĖ",0.47865033043607
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Gediminas KRASAUSKAS","Gintautas RADŽIUKYNAS",0.477710633803136
"Partija Tvarka ir teisingumas","Edgaras MOLIS","Vygaudas MOLIS",0.477571032383309
"Lietuvos valstiečių ir žaliųjų sąjunga","Audrys ŠIMAS","Nijolė ŠATIENĖ",0.475074718986345
"Lietuvos lenkų rinkimų akcija","Julija CHARITONOVA","Michail ČAIKOVSKIJ",0.474768993040862
"Lietuvos socialdemokratų partija","Asta KANDRATAVIČIENĖ","Romualdas RUDZYS",0.474204684612685
"Lietuvos lenkų rinkimų akcija","Danuta ŠPILEVSKAJA","Irena BARANOVSKAJA",0.4740828226689
"Darbo partija","Sergej URSUL","Viačeslav ŽDANOVIČ",0.473772777266942
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Erika KIŽIENĖ","Povilas KARVELIS",0.473152864594342
"Darbo partija","Rimantas ADOMAITIS","Valentinas BUKAUSKAS",0.472914663295775
"Lietuvos socialdemokratų partija","Edvardas ŽAKARIS","Justinas SARTAUSKAS",0.471819837870632
"Politinė partija „Sąjunga Taip“","Dangis GUDELIS","Vajonė STRIMAITIENĖ",0.471726306475822
"Darbo partija","Rimvydas PODOLSKIS","Vytautas SEKONAS",0.471634867641232
"Lietuvos socialdemokratų partija","Darius JASAITIS","Vytautas RINKEVIČIUS",0.47120787699799
"Darbo partija","Birutė BOREIKINA","Raimundas PALIUKAS",0.468585687008005
"Lietuvos valstiečių ir žaliųjų sąjunga","Algimantas ČEPONIS","Genovaitė KIMBRIENĖ",0.46800862290096
"Darbo partija","Ivanas ROMANOVAS","Valentina KOZLOVSKAJA",0.467977279020092
"Lietuvos socialdemokratų partija","Aloyzas KAŽDAILEVIČIUS","Lilija PETRAITIENĖ",0.466137387791031
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Egidijus ČERNIUS","Vykintas STUMBRYS",0.466107693326485
"Lietuvos valstiečių ir žaliųjų sąjunga","Pranciškus ZARAMBA","Valius ĄŽUOLAS",0.46573208579202
"Politinė partija „Sąjunga Taip“","Michail OLISOV","Vasilij FIODOROV",0.465295763969494
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Dobilas KURTINAITIS","Robertas ŠARKNICKAS",0.464239739492281
"Lietuvos valstiečių ir žaliųjų sąjunga","Jonas KANAVOLAS","Valius ĄŽUOLAS",0.462460071645667
"Lietuvos Respublikos liberalų sąjūdis","Regina ROZENBLAT","Simona JUCIENĖ",0.46054453578949
"Lietuvos valstiečių ir žaliųjų sąjunga","Aringas PAČEŠIŪNAS","Vytautas ZURBA",0.459734584620062
"Darbo partija","Aidas GEDVILAS","Danguolė MARTINKIENĖ",0.459580867918923
"Lietuvos Respublikos liberalų sąjūdis","Algimantas ŠABLINSKAS","Vytautas MASIULIS",0.458967542070544
"Lietuvos valstiečių ir žaliųjų sąjunga","Algirdas KOPŪSTAS","Danutė UŽKURĖLYTĖ",0.458234198816017
"Lietuvos valstiečių ir žaliųjų sąjunga","Algirdas KOPŪSTAS","Elena MIRINAVIČIENĖ",0.457716373465208
"Lietuvos valstiečių ir žaliųjų sąjunga","Jonas KANAVOLAS","Julija JUŠKIENĖ",0.457591399753846
"Lietuvos lenkų rinkimų akcija","Vadim BARANOVSKIJ","Viačeslav KARMANOV",0.456253839606584
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Kęstutis DAINIUS","Virginija RADZIŠAUSKIENĖ",0.454645741628762
"Liberalų ir centro sąjunga","Gražvydas GULBINSKAS","Valdas MARČIULIONIS",0.454379750377228
"Lietuvos lenkų rinkimų akcija","Beata PAŠKOVSKA","Viktor MARCINKEVIČ",0.45320740246204
"Partija Tvarka ir teisingumas","Almantas JAKIMAVIČIUS","Danius KANAUKA",0.451889840359561
"Lietuvos lenkų rinkimų akcija","Jurgita NAUSĖDIENĖ","Kristina MIKOLAJŪNIENĖ",0.451601574544216
"Lietuvos valstiečių ir žaliųjų sąjunga","Antanas BAURA","Vidmantas PALIULIS",0.451483379654714
"Lietuvos socialdemokratų partija","Justinas SARTAUSKAS","Valerijus SIMULIK",0.450197855138803
"Darbo partija","Danguolė MARTINKIENĖ","Marijus VELIČKA",0.449841153686524
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Antanas Juozas KAZAKEVIČIUS","Vilhelm HAASE",0.449494927022641
"Lietuvos valstiečių ir žaliųjų sąjunga","Nijolė ŠATIENĖ","Vytautas ZURBA",0.448845909289052
"Lietuvos socialdemokratų partija","Vaidotas LINKUS","Vytautas KLEIVA",0.448648267084259
"Lietuvos Respublikos liberalų sąjūdis","Rūtenis VIRBICKAS","Sigitas MAJAUSKAS",0.448643678309471
"Lietuvos Respublikos liberalų sąjūdis","Kęstutis MACIONIS","Remigijus OSAUSKAS",0.447839777415896
"Lietuvos lenkų rinkimų akcija","Edmund ŠOT","Tatjana SINKEVIČ",0.446586584024277
"Lietuvos valstiečių ir žaliųjų sąjunga","Petras NEVULIS","Remigijus VILYS",0.446010956742081
"Darbo partija","Antanas MAKAREVIČIUS","Saulius JAKIMAVIČIUS",0.445951968731121
"Politinė partija „Sąjunga Taip“","Darius MASKOLIŪNAS","Mindaugas MIZGAITIS",0.445578275224557
"Krikščionių partija","Albinas PILIPAUSKAS","Arvydas ŠALTENIS",0.445451533360347
"Politinė partija „Sąjunga Taip“","Kęstutis NĖNIUS","Virginijus DASTIKAS",0.444653922298808
"Liberalų ir centro sąjunga","Daiva VALIAUGIENĖ","Rolandas CIJUNČIKAS",0.444485429378044
"Demokratinė darbo ir vienybės partija","Kristina GALDIKAITĖ","Virginijus SUNGAILA",0.443685322289724
"Lietuvos socialdemokratų partija","Petras PAPOVAS","Vasilijus POPOVAS",0.443200705144304
"Lietuvos žmonių partija","Valerij DALECKIJ","Viačeslav KAŠPOR",0.443006716282458
"Darbo partija","Rytis ŠATKAUSKAS","Saulius GIEDRAITIS",0.441828177651987
"Partija Tvarka ir teisingumas","Sigitas KARBAUSKAS","Viktoras KURA",0.441137467345424
"Darbo partija","Raimundas PALIUKAS","Valentina KOZLOVSKAJA",0.440782733244291
